T,Cp
308.82,1.7556
310,1.7601
315,1.7794
320,1.7989
325,1.8187
330,1.8387
335,1.8589
340,1.8793
345,1.8999
350,1.9205
355,1.9413
360,1.9622
365,1.9831
370,2.0041
375,2.025
380,2.046
385,2.067
390,2.0881
395,2.1091
400,2.13
405,2.151
410,2.1719
415,2.1928
420,2.2137
425,2.2345
430,2.2553
435,2.276
440,2.2966
445,2.3172
450,2.3377
455,2.3581
460,2.3784
465,2.3986
470,2.4188
475,2.4388
480,2.4587
485,2.4786
490,2.4983
495,2.5179
500,2.5374
505,2.5568
510,2.5761
515,2.5952
520,2.6142
525,2.6331
530,2.6519
535,2.6705
540,2.689
545,2.7074
550,2.7256
555,2.7437
560,2.7617
565,2.7795
570,2.7972
575,2.8147
580,2.8322
585,2.8494
590,2.8666
595,2.8835
600,2.9004
605,2.9171
610,2.9336
615,2.9501
620,2.9663
625,2.9825
630,2.9984
635,3.0143
640,3.03
645,3.0455
650,3.061
