T,Cp
273.2,1.006
280,1.006
288.7,1.006
300,1.006
320,1.007
340,1.009
360,1.01
380,1.012
400,1.014
500,1.03
600,1.051
700,1.075
800,1.099
900,1.121
1100,1.159
1500,1.21
1900,1.241
